,P,R,F1
0,0.9972677595628415,0.9785522788203753,0.9878213802435724
1,0.9967105263157895,0.9498432601880877,0.9727126805778491
2,0.9956521739130435,0.9956521739130435,0.9956521739130435
3,1.0,0.9814814814814815,0.9906542056074767
4,0.99734395750332,0.9542566709021602,0.9753246753246755
5,0.9297297297297298,0.9386084583901774,0.9341479972844534
6,0.9778393351800554,0.9216710182767625,0.9489247311827956
7,1.0,0.898876404494382,0.9467455621301775
8,0.9736842105263158,0.891566265060241,0.930817610062893
9,1.0,0.8,0.888888888888889
10,1.0,0.9607843137254902,0.98
11,1.0,0.8095238095238095,0.8947368421052632
12,0.9588235294117647,0.9314285714285714,0.944927536231884
13,0.9815950920245399,0.975609756097561,0.9785932721712537
14,0.9947643979057592,0.8837209302325582,0.935960591133005
15,0.9754098360655737,0.9834710743801653,0.9794238683127573
16,0.8879310344827587,1.0,0.9406392694063928
17,0.8513513513513513,0.9742268041237113,0.9086538461538461
18,0.861271676300578,0.9933333333333333,0.9226006191950464
19,0.8734939759036144,1.0,0.932475884244373
20,0.9898734177215189,0.9758735440931781,0.9828236279849183
21,0.9901153212520593,0.9732793522267207,0.9816251531237239
22,0.9782426778242678,0.9725457570715474,0.9753858990404672
23,0.9947643979057592,0.976027397260274,0.9853068280034573
24,1.0,0.9459459459459459,0.9722222222222222
25,0.9863013698630136,1.0,0.993103448275862
26,1.0,0.9855072463768116,0.9927007299270074
27,1.0,0.9642857142857143,0.9818181818181818
28,1.0,0.943127962085308,0.9707317073170733
29,0.9965156794425087,0.9050632911392406,0.9485903814262022
30,0.9943661971830986,0.8982188295165394,0.9438502673796791
31,0.9968944099378882,0.9358600583090378,0.9654135338345865
32,0.997872340425532,0.9532520325203252,0.975051975051975
33,0.9824120603015075,0.9923857868020305,0.9873737373737373
34,0.9920424403183024,0.9373433583959899,0.9639175257731958
35,0.981651376146789,0.9846625766871165,0.9831546707503829
